primazia	9223372164093181960	40
que	3070901616655	40
quinze	9223375475512967170	40
sovas	1162862395600	40
vazantes	990795268300	40
virgens	9223375164127838365	40
virtudes	581699633350	40
Agora	71940702461	41
Diabo	212600881346	41
Ipe	2821793513486	41
Lucas	178241143001	41
Valor	1213328261336	41
barranco	9223372169193455816	41
cachorro	6917529588805402826	41
capaz	1171452330176	41
comodidade	9799836050950979666	41
completar	16140901188982800551	41
definitivo	6917529333858828476	41
desdoidar	6917531935199723546	41
deu	2757369004061	41
ouvir	67645735106	41
pergunta	9223372654524760316	41
por	3289944948746	41
apreceio	6917530009980633297	42
formato	9223372881352720482	42
maior	1613833961667	42
quaresma	16140901726055039217	42
rezar	1475321266392	42
saber	278099132532	42
servidor	16140901908591149262	42
tudo	4084513898622	42
vivo	3723736645752	42
almargem	16140901706996121853	43
anunciou	16140904670523555943	43
as	833223655618	43
bem	2808908611603	43
branco	2121713844253	43
casa	4357244321908	43
chamar	9223375828774027273	43
cursar	9223374414656045068	43
mal	3002182139923	43
metodista	6917530699658428423	43
nascentes	16140903880249573378	43
peitos	1068373115098	43
protegem	9223372236033884383	43
susto	2137819971688	43
Ainda	84825604349	44
Matias	9223374225677484059	44
Mindubim	16140901298705793224	44
Raciocinar	16140902850061402229	44
Rezo	3371549327549	44
Rio	1606317768719	44
Vale	4393751543909	44
criaturas	4611686152980660389	44
dele	4325032067174	44
demo	4299262263404	44
esperava	16140901950467080424	44
mandioca	16140901960130756849	44
nem	2808908611604	44
refresca	9223375683550445684	44
significado	13835059973035393229	44
sossega	1768184348894	44
Número total de colisões:592
Número de elementos da maior lista de colisões:19
Número total de palavras:1785
Número total de palavras diferentes:637
Número máximo do índice:45
